Time,Connectivity,Reachability
221.33,0,0.18
221.50,0,0.18
221.67,0,0.18
221.83,0,0.18
222.00,0,0.18
222.17,0,0.18
222.33,0,0.18
222.50,0,0.18
222.67,0,0.18
222.83,0,0.18
223.00,0,0.18
223.17,0,0.18
223.33,0,0.18
223.50,0,0.18
223.67,0,0.18
223.83,0,0.18
224.00,0,0.18
224.17,0,0.18
224.33,0,0.18
224.50,0,0.18
224.67,0,0.18
224.83,0,0.18
225.00,0,0.18
225.17,0,0.18
225.33,0,0.18
225.50,0,0.18
225.67,0,0.18
225.83,0,0.18
226.00,0,0.18
226.17,0,0.18
226.33,0,0.18
226.50,0,0.18
226.67,0,0.18
226.83,0,0.18
227.00,0,0.18
227.17,0,0.18
227.33,0,0.18
227.50,0,0.18
227.67,0,0.18
227.83,0,0.18
228.00,0,0.18
228.17,0,0.18
228.33,0,0.18
228.50,0,0.18
228.67,0,0.18
228.83,0,0.18
229.00,0,0.18
229.17,0,0.18
